Return,Volume,Ticker ,Date
,102573300.0,BAC,2009-12-28
,20191200.0,CSCO,2009-12-28
,13631500.0,DAL,2009-12-28
,7981600.0,DIS,2009-12-28
,9545206.0,GE,2009-12-28
,27397000.0,INTC,2009-12-28
,5693500.0,JNJ,2009-12-28
,7679600.0,KO,2009-12-28
,,META,2009-12-28
,25384000.0,MSFT,2009-12-28
,465760000.0,NVDA,2009-12-28
,15927500.0,ORCL,2009-12-28
,20499141.0,PFE,2009-12-28
,6880600.0,PG,2009-12-28
,,PYPL,2009-12-28
,20686970.0,T,2009-12-28
,3766700.0,TSM,2009-12-28
,13439600.0,V,2009-12-28
-0.011118367238467708,83089500.0,BAC,2009-12-29
0.0008306225109890875,21897300.0,CSCO,2009-12-29
0.0035426575534065474,9232300.0,DAL,2009-12-29
0.014728969015050941,6242100.0,DIS,2009-12-29
0.0065189469414201895,10096595.0,GE,2009-12-29
0.004925787767613654,29331800.0,INTC,2009-12-29
0.0,6661900.0,JNJ,2009-12-29
0.005222363869749946,9551000.0,KO,2009-12-29
,,META,2009-12-29
0.007058153781459131,29716200.0,MSFT,2009-12-29
0.012359320503170457,475848000.0,NVDA,2009-12-29
0.0016020173788029446,16214100.0,ORCL,2009-12-29
-0.0037567877524306015,20728702.0,PFE,2009-12-29
0.005388145847449621,7281400.0,PG,2009-12-29
,,PYPL,2009-12-29
0.00035287177156750893,21038492.0,T,2009-12-29
0.007168464791069473,7957200.0,TSM,2009-12-29
0.014522380483318775,18743200.0,V,2009-12-29
-0.0033071075384583093,86897900.0,BAC,2009-12-30
0.003319261782055216,17202900.0,CSCO,2009-12-30
0.003530536445184751,8492500.0,DAL,2009-12-30
-0.0030883497034270846,6692500.0,DIS,2009-12-30
-0.005828748978302323,9379382.0,GE,2009-12-30
0.00931427028805909,26273600.0,INTC,2009-12-30
-0.00046219326084584456,5602100.0,JNJ,2009-12-30
-0.0010389006405928658,9625200.0,KO,2009-12-30
,,META,2009-12-30
-0.013698636757486393,42006200.0,MSFT,2009-12-30
0.036071411569361,704008000.0,NVDA,2009-12-30
-0.003199003545223289,18697400.0,ORCL,2009-12-30
-0.0032329422696245613,19279663.0,PFE,2009-12-30
-0.0034102869933611,5666200.0,PG,2009-12-30
,,PYPL,2009-12-30
-0.000705764433209799,31173580.0,T,2009-12-30
0.0035582889820762187,5800100.0,TSM,2009-12-30
0.001363368288554545,12350800.0,V,2009-12-30
-0.0006635368536552777,94322600.0,BAC,2009-12-31
-0.00992566340120593,25208100.0,CSCO,2009-12-31
0.0008795289024514652,8734300.0,DAL,2009-12-31
-0.0009293067748870065,19651700.0,DIS,2009-12-31
-0.014332520593043241,9292057.0,GE,2009-12-31
-0.009228315265373932,26429200.0,INTC,2009-12-31
-0.007702679190400352,6962300.0,JNJ,2009-12-31
-0.011789059465809326,10848800.0,KO,2009-12-31
,,META,2009-12-31
-0.015503720229709694,31929700.0,MSFT,2009-12-31
0.0005355073315840286,700340000.0,NVDA,2009-12-31
-0.016044567910695307,17714100.0,ORCL,2009-12-31
-0.016756801802319532,27063136.0,PFE,2009-12-31
-0.012058406715232617,5942200.0,PG,2009-12-31
,,PYPL,2009-12-31
-0.01023973176321813,21278004.0,T,2009-12-31
0.014184481400862703,7414700.0,TSM,2009-12-31
-0.007714625535596209,12643600.0,V,2009-12-31
0.04183295861104197,180845200.0,BAC,2010-01-04
0.03132819666855391,59853700.0,CSCO,2010-01-04
-0.014059521201593927,14482500.0,DAL,2010-01-04
-0.005581369311632223,13700400.0,DIS,2010-01-04
0.02115014013931904,13997032.0,GE,2010-01-04
0.02352953408143521,47800900.0,INTC,2010-01-04
0.004191778137543345,9506200.0,JNJ,2010-01-04
0.0007018028946994548,13870400.0,KO,2010-01-04
,,META,2010-01-04
0.015419952623163091,38409100.0,MSFT,2010-01-04
-0.010171072322221253,800204000.0,NVDA,2010-01-04
0.013045164713471502,26795000.0,ORCL,2010-01-04
0.04068148078006484,54898644.0,PFE,2010-01-04
0.008082607429125366,9190800.0,PG,2010-01-04
,,PYPL,2010-01-04
0.01962159664721841,38576858.0,T,2010-01-04
0.012237891146906765,8096400.0,TSM,2010-01-04
0.007774603691765858,20180000.0,V,2010-01-04
0.03250451708700841,209521300.0,BAC,2010-01-05
-0.004455269282527929,45124500.0,CSCO,2010-01-05
0.0784312219905503,25066000.0,DAL,2010-01-05
-0.002494562070778361,10307700.0,DIS,2010-01-05
0.0051778425837230024,13469263.0,GE,2010-01-05
-0.00047869155947422026,52357700.0,INTC,2010-01-05
-0.011595465816378492,10673100.0,JNJ,2010-01-05
-0.012097029764575828,23172400.0,KO,2010-01-05
,,META,2010-01-05
0.00032293849357412086,49749600.0,MSFT,2010-01-05
0.014602192996700403,728648000.0,NVDA,2010-01-05
-0.0012072914759199138,28669900.0,ORCL,2010-01-05
-0.01426300164361749,45714931.0,PFE,2010-01-05
0.0003265978334645592,8649400.0,PG,2010-01-05
,,PYPL,2010-01-05
-0.004898462658152525,46650478.0,T,2010-01-05
-0.00431806044974381,14375900.0,TSM,2010-01-05
-0.011458446892899654,25833600.0,V,2010-01-05
0.011728398613729318,205257900.0,BAC,2010-01-06
-0.006509350815624981,35715700.0,CSCO,2010-01-06
0.0008261959359667781,14980700.0,DAL,2010-01-06
-0.005314201004666619,10709500.0,DIS,2010-01-06
-0.00515117063306314,11573422.0,GE,2010-01-06
-0.003353998350101528,40037400.0,INTC,2010-01-06
0.008133535911145184,13171500.0,JNJ,2010-01-06
-0.00035462893238324966,19264600.0,KO,2010-01-06
,,META,2010-01-06
-0.006137198916034814,58182400.0,MSFT,2010-01-06
0.006396715237360295,649168000.0,NVDA,2010-01-06
-0.014504632633972503,24560700.0,ORCL,2010-01-06
-0.0032156179069871005,43640975.0,PFE,2010-01-06
-0.004743213122161083,9908400.0,PG,2010-01-06
,,PYPL,2010-01-06
-0.00982377463976758,50172450.0,T,2010-01-06
-0.0034692478012258166,13608400.0,TSM,2010-01-06
